,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 102 15N-D-D,2.2232434349590516e-09,8.209033964815538e-07,8.209033964815538e-07
M3 102 15N,0.00014675138884406993,0.05418602013895119,0.05418602013895119
M3 102 17O-D,1.6415781691610272e-08,6.06131147612757e-06,6.06131147612757e-06
M3 102 17O-D-D,4.595267578568789e-10,1.6967421127494132e-07,1.6967421127494132e-07
M3 102 17O,3.0332346366627925e-05,0.011199819940580818,0.011199819940580818
M3 102 17O-15N,4.842739912233513e-08,1.7881180170009104e-05,1.7881180170009104e-05
M3 102 17O-15N-D,3.0985772284868415e-09,1.1441088866510459e-06,1.1441088866510459e-06
M3 102 18O,6.95350937951617e-05,0.025674918802655995,0.025674918802655995
M3 102 18O-D,4.4491313206827335e-06,0.0016427832216260143,0.0016427832216260143
M3 102 18O-15N,1.312516590815175e-05,0.004846294878898008,0.004846294878898008
M3 102 17O-17O,2.502389679893242e-09,9.239744758686696e-07,9.239744758686696e-07
M3 102 17O-17O-D,1.6011282495948743e-10,5.9119554684267215e-08,5.9119554684267215e-08
M3 102 17O-17O-15N,4.723410571962278e-10,1.744057227620748e-07,1.744057227620748e-07
M3 102 17O-18O,6.782168836380372e-07,0.0002504226638320665,0.0002504226638320665
M3 102 18O-17O,6.782168836380372e-07,0.0002504226638320665,0.0002504226638320665
M3 102 13C-D,9.468583125787776e-07,0.0003496149780813487,0.0003496149780813487
M3 102 13C-D-D,2.6505392110053096e-08,9.786767416505928e-06,9.786767416505928e-06
M3 102 13C,0.0017495623928733585,0.6460029019235977,0.6460029019235977
M3 102 13C-15N,2.7932806537618663e-06,0.0010313821419387502,0.0010313821419387502
M3 102 13C-15N-D,1.7872518415979744e-07,6.599192351433668e-05,6.599192351433668e-05
M3 102 13C-17O,5.773489229402248e-07,0.00021317849604055017,0.00021317849604055017
M3 102 13C-17O-D,3.6941075877207305e-08,1.3640006389062297e-05,1.3640006389062297e-05
M3 102 13C-17O-15N,1.0897807117088317e-07,4.0238719413033685e-05,4.0238719413033685e-05
M3 102 13C-18O,0.00015647754242057208,0.05777727442091825,0.05777727442091825
M3 102 13C-17O-17O,5.631225413196206e-09,2.0792559174389954e-06,2.0792559174389954e-06
M3 102 13C-13C,1.2488004772194582e-05,0.004611031509899049,0.004611031509899049
M3 102 13C-13C-D,7.990321164803306e-07,0.00029503209950044405,0.00029503209950044405
M3 102 13C-13C-15N,2.3571857827600913e-06,0.0008703598466901258,0.0008703598466901258
M3 102 13C-13C-17O,4.87211577187464e-07,0.00017989646667985793,0.00017989646667985793
M3 102 13C-13C-13C,4.683707630772742e-06,0.0017293974387913714,0.0017293974387913714
M3 61 ,0.0001389232993007169,0.051295601036367135,0.051295601036367135
M3 61 D,3.1620903838098577e-06,0.0011675602838782165,0.0011675602838782165
M3 61 D-D,8.293299788027776e-09,3.0621918666127276e-06,3.0621918666127276e-06
M3 61 D-D-D,3.364413934296031e-11,1.2422655937739663e-08,1.2422655937739663e-08
M3 61 33S,3.205765234658041e-05,0.011836866481073138,0.011836866481073138
M3 61 33S-D,2.10196174951075e-07,7.761217293235656e-05,7.761217293235656e-05
M3 61 33S-D-D,1.7054416408822445e-09,6.297118945623218e-07,6.297118945623218e-07
M3 61 34S,0.0015294191808629828,0.5647179163884869,0.5647179163884869
M3 61 34S-D,3.102262871832537e-05,0.011454697619799127,0.011454697619799127
M3 61 13C,8.896948127741252e-05,0.032850810763858214,0.032850810763858214
M3 61 13C-D,5.833566491305537e-07,0.00021539676991790582,0.00021539676991790582
M3 61 13C-D-D,4.733105733938052e-09,1.7476370386617721e-06,1.7476370386617721e-06
M3 61 13C-33S,5.914139819546003e-06,0.0021837183408669487,0.0021837183408669487
M3 61 13C-33S-D,1.1996198694625637e-07,4.429438584383875e-05,4.429438584383875e-05
M3 61 13C-34S,0.00087286157254167,0.32229265508699645,0.32229265508699645
M3 61 13C-13C,4.103372466724197e-06,0.001515116312499007,0.001515116312499007
M3 61 13C-13C-D,8.323251213336776e-08,3.0732510364629576e-05,3.0732510364629576e-05
M3 61 13C-13C-33S,8.438212112992171e-07,0.0003115698836602949,0.0003115698836602949
M3 56 D,4.085087323185497e-05,0.015083647637481845,0.015083647637481845
M3 56 ,0.0010527963657168855,0.3887312108205303,0.3887312108205303
M3 56 D-D,1.0206793365168986e-08,3.7687242021730873e-06,3.7687242021730873e-06
M3 56 D-D-D,6.728827868592061e-11,2.4845311875479316e-08,2.4845311875479316e-08
M3 56 15N-D,9.635380690899125e-08,3.5577375878757754e-05,3.5577375878757754e-05
M3 56 15N,0.000160682898904617,0.059330046990437486,0.059330046990437486
M3 56 15N-D-D,1.1910232687280634e-09,4.3976967668654653e-07,4.3976967668654653e-07
M3 56 13C-D,8.61543790007704e-07,0.00031811371274686383,0.00031811371274686383
M3 56 13C,0.0014367398461221593,0.5304972910282261,0.5304972910282261
M3 56 13C-D-D,1.064948790136062e-08,3.932183336988988e-06,3.932183336988988e-06
M3 56 13C-15N,3.3887979071095703e-06,0.0012512690550178388,0.0012512690550178388
M3 56 13C-15N-D,1.0053291608988606e-07,3.712045697681437e-05,3.712045697681437e-05
M3 56 13C-13C,1.010026791233062e-05,0.0037293910798205363,0.0037293910798205363
M3 56 13C-13C-D,2.9963704368012396e-07,0.00011063703731266647,0.00011063703731266647
M3 56 13C-13C-15N,1.1785928913800457e-06,0.0004351799233450628,0.0004351799233450628
M3 56 13C-13C-13C,1.1709269076931855e-06,0.00043234935969784275,0.00043234935969784275
M4 133 D,3.3864118183640323e-13,1.0367437919328787e-09,1.0367437919328787e-09
M4 133 D-D,1.3922956875828412e-12,4.262487813232824e-09,4.262487813232824e-09
M4 133 D-D-D,1.1709355531179647e-12,3.5847978053508056e-09,3.5847978053508056e-09
M4 133 D-D-D-D,6.602918041514967e-14,2.0214712962729103e-10,2.0214712962729103e-10
M4 133 ,1.236758562247221e-14,3.7863137453526483e-11,3.7863137453526483e-11
M4 133 33S-D,1.7644076267040763e-11,5.4017017171531605e-08,5.4017017171531605e-08
M4 133 33S,1.9073250005633214e-12,5.8392406464246235e-09,5.8392406464246235e-09
M4 133 33S-D-D,2.543804007060451e-11,7.787809497688216e-08,7.787809497688216e-08
M4 133 33S-D-D-D,2.231372555864075e-12,6.83130631731335e-09,6.83130631731335e-09
M4 133 34S-D,2.3136378680891366e-07,0.0007083160067876844,0.0007083160067876844
