,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 104 13C-33S-15N,1.1353042631966328e-06,0.00042163046303881236,0.00042163046303881236
M3 104 13C-34S,0.0017368479590002463,0.6450323784739065,0.6450323784739065
M3 104 13C-13C,7.576091885181328e-06,0.0028136167837329285,0.0028136167837329285
M3 104 13C-13C-D,9.053492730089576e-07,0.0003362295426565356,0.0003362295426565356
M3 104 13C-13C-15N,2.3330033501691703e-06,0.0008664331798008571,0.0008664331798008571
M3 104 13C-13C-33S,4.973776264013084e-06,0.0018471661361885306,0.0018471661361885306
M3 104 13C-13C-13C,4.542563019103878e-06,0.001687021718508274,0.001687021718508274
M3 102 D-D,1.2304019545037763e-08,4.569479412863228e-06,4.569479412863228e-06
M3 102 D-D-D,2.057258688401781e-10,7.6402684416876e-08,7.6402684416876e-08
M3 102 D,5.1562974464042355e-05,0.01914951040324528,0.01914951040324528
M3 102 ,0.000450022365231122,0.16712976809931726,0.16712976809931726
M3 102 15N-D,8.138549132523644e-08,3.02250273380304e-05,3.02250273380304e-05
M3 102 15N-D-D,2.3850960886936458e-09,8.857794345248477e-07,8.857794345248477e-07
M3 102 15N,0.0001489789645850787,0.05532796084477511,0.05532796084477511
M3 102 17O-D,1.6438665374788235e-08,6.1050084267248195e-06,6.1050084267248195e-06
M3 102 17O-D-D,4.817541290261071e-10,1.789143431208598e-07,1.789143431208598e-07
M3 102 17O,3.0091547115070774e-05,0.011175429666720166,0.011175429666720166
M3 102 17O-15N,4.749561816695364e-08,1.7638971445119018e-05,1.7638971445119018e-05
M3 102 17O-15N-D,3.1865843796195573e-09,1.1834369790070437e-06,1.1834369790070437e-06
M3 102 18O,6.670102893284596e-05,0.024771496616189638,0.024771496616189638
M3 102 18O-D,4.475117181438129e-06,0.0016619736140600614,0.0016619736140600614
M3 102 18O-15N,1.2929787915017838e-05,0.004801877912668778,0.004801877912668778
M3 102 17O-17O,2.3983530759037153e-09,8.907028280476931e-07,8.907028280476931e-07
M3 102 17O-17O-D,1.6091072699849213e-10,5.975919102184816e-08,5.975919102184816e-08
M3 102 17O-17O-15N,4.649133171241862e-10,1.7265998510394938e-07,1.7265998510394938e-07
M3 102 17O-18O,6.529064746091021e-07,0.00024247707696909739,0.00024247707696909739
M3 102 18O-17O,6.529064746091021e-07,0.00024247707696909739,0.00024247707696909739
M3 102 13C-D,9.557404107201636e-07,0.0003549438551232267,0.0003549438551232267
M3 102 13C-D-D,2.800907973026232e-08,1.0402040790994663e-05,1.0402040790994663e-05
M3 102 13C,0.0017495159700173268,0.649737037413417,0.649737037413417
M3 102 13C-15N,2.7613848557262877e-06,0.001025525943212799,0.001025525943212799
M3 102 13C-15N-D,1.852673191123514e-07,6.880476721135228e-05,6.880476721135228e-05
M3 102 13C-17O,5.577588938166978e-07,0.00020714107071332236,0.00020714107071332236
M3 102 13C-17O-D,3.742125794389196e-08,1.3897545200748787e-05,1.3897545200748787e-05
M3 102 13C-17O-15N,1.0811983443352188e-07,4.015365513340809e-05,4.015365513340809e-05
M3 102 13C-18O,0.00015183935872599283,0.05639025695798741,0.05639025695798741
M3 102 13C-17O-17O,5.459651805527173e-09,2.027611093711198e-06,2.027611093711198e-06
M3 102 13C-13C,1.2160438700196754e-05,0.004516156211271997,0.004516156211271997
M3 102 13C-13C-D,8.158702951323979e-07,0.0003029987479723803,0.0003029987479723803
M3 102 13C-13C-15N,2.3572633865276505e-06,0.0008754428970147815,0.0008754428970147815
