,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M4 104 13C-34S-15N,6.417278281326362e-06,0.019646380228158084,0.01971848482131929
M4 104 13C,1.8227776323220406e-06,0.005580400423055818,0.005600881167982273
M4 104 13C-13C,2.5794018091777807e-06,0.00789679151857375,0.007925773699164428
M4 104 13C-13C-34S,2.868992118417337e-05,0.0878336696010724,0.08815602979867075
M4 102 D,5.7481586999197e-07,0.0017597882853083338,0.0017664316023580807
M4 102 ,9.400429558621196e-05,0.28779243367722035,0.28887886912936966
M4 102 15N,1.6957363396334764e-06,0.0051914658262659195,0.005211063952770534
M4 102 17O,3.504952314617831e-07,0.0010730347483125255,0.0010770855253849428
M4 102 18O,0.00016010113433630516,0.4901466980609661,0.4919970342311123
M4 102 18O-18O,3.579785456886002e-06,0.01095944778113578,0.011000820420622053
M4 102 13C-D,2.1800947065116356e-06,0.006674320118258881,0.006699516117690897
M4 102 13C,2.0216480071638805e-05,0.061892384426923276,0.062126032267487696
M4 102 13C-15N,6.43139135620247e-06,0.01968958714907522,0.019763916641493115
M4 102 13C-17O,1.329317506105178e-06,0.004069681261117342,0.0040850445767699846
M4 102 13C-18O,3.047381048380465e-06,0.00932950141040032,0.009364720894643273
M4 102 13C-18O-15N,5.752114459380228e-07,0.0017609993338408376,0.001767647222678811
M4 102 13C-13C,2.875301693724989e-05,0.08802683609649004,0.08835914321886221
M4 102 13C-13C-18O,2.571615305544361e-06,0.007872953279943015,0.007902674198756463
M4 61 ,5.5014470392342694e-06,0.016842579610795945,0.01685570074465791
M4 61 33S,1.0968783564131624e-06,0.003358073050507649,0.0033606891418091096
M4 61 34S,0.0001816600299639557,0.556148863189522,0.5565821283929361
M4 61 34S-D,1.1911116580560919e-06,0.0036465665820440527,0.003649407422898912
M4 61 36S,9.372657178216173e-05,0.28694218732454796,0.2871657283104025
M4 61 13C,3.0441623528589293e-06,0.00931964743285991,0.009326907861151696
M4 61 13C-33S,7.024645893505369e-07,0.002150582507752045,0.002152257909122707
M4 61 13C-34S,3.351345897742734e-05,0.10260084243927005,0.10268077315173248
M4 61 13C-34S-D,6.797845926954531e-07,0.0020811481123081503,0.00208276942113371
M4 61 13C-13C,4.873868293176378e-07,0.0014921258744278116,0.0014932883081992228
M4 61 13C-13C-34S,4.781653530695562e-06,0.014638944933512074,0.014650349335955715
M4 56 D,9.839013715443724e-07,0.0030121960751827814,0.0030145931611618958
M4 56 ,0.00026455585822933973,0.8099329270922668,0.8105774664300448
M4 56 15N,3.870079440375271e-06,0.011848177508530115,0.011857606210870493
M4 56 13C-D,1.342719590591926e-06,0.004110711497945735,0.0041139827753294
M4 56 13C,3.460416371343881e-05,0.10594001506369685,0.10602432143632265
M4 56 13C-15N,5.281455674345062e-06,0.016169080065965295,0.016181947314362777
M4 56 13C-13C,1.5741309673872835e-05,0.04819173200607549,0.048230082671907884
D/34S,0.04177593124172358,0.04177593124172358,0.04177593124172358
17O/34S,0.016981976843360284,0.016981976843360284,0.016981976843360284
33S/34S,0.1764705882352941,0.1764705882352941,0.1764705882352941
15N/34S,0.08216076187969519,0.08216076187969519,0.08216076187969519
13C13C/34S,0.026829612954172872,0.026829612954172872,0.026829612954172872
18O/34S,0.08963479854252708,0.08963479854252708,0.08963479854252708
13C33S/34S,0.009667297058823524,0.009667297058823524,0.009667297058823524
13C18O/34S,0.004910315271137666,0.004910315271137666,0.004910315271137666
13C34S/34S,0.05478134999999996,0.05478134999999996,0.05478134999999996
17O34S/34S,0.0007597999999999997,0.0007597999999999997,0.0007597999999999997
34S15N/34S,0.0036760000000000004,0.0036760000000000004,0.0036760000000000004
34SD/13C34S,0.03411964108222965,0.03411964108222965,0.03411964108222965
18O33S/13C34S,0.012918952290493464,0.012918952290493464,0.012918952290493464
13C13C34S/13C34S,0.021912540000000005,0.021912540000000005,0.021912540000000005
18O34S/13C34S,0.07320739631279628,0.07320739631279628,0.07320739631279628
36S/13C34S,0.04295140248149131,0.04295140248149131,0.04295140248149131
13C34S15N/36S,0.0855850982184824,0.0855850982184824,0.0855850982184824
13C34SD/36S,0.043517088896118,0.043517088896118,0.043517088896118
18O18O/36S,0.0381939229059407,0.0381939229059407,0.0381939229059407
13C13C18O/36S,0.04572903316257139,0.04572903316257139,0.04572903316257139
